
 ks_dev  gini_index_dev
-------  --------------
100.00%    0.5333333333

min_score  max_score  Total_bin  nbr_bad  nbr_good  bad_rate     pct_total       pct_bad  pct_good   cum_pct_bad  cum_pct_good            KS          Gini
---------  ---------  ---------  -------  --------  --------  ------------  ------------  --------  ------------  ------------  ------------  ------------
      410        410          1        1         0         1  0.0666666667  0.1428571429         0  0.1428571429             0  0.1428571429  0.0047619048
      420        420          1        1         0         1  0.0666666667  0.1428571429         0  0.2857142857             0  0.2857142857  0.0142857143
      455        455          1        1         0         1  0.0666666667  0.1428571429         0  0.4285714286             0  0.4285714286  0.0238095238
      460        460          1        1         0         1  0.0666666667  0.1428571429         0  0.5714285714             0  0.5714285714  0.0333333333
      480        480          1        1         0         1  0.0666666667  0.1428571429         0  0.7142857143             0  0.7142857143  0.0428571429
      495        495          1        1         0         1  0.0666666667  0.1428571429         0  0.8571428571             0  0.8571428571  0.0523809524
      500        500          1        1         0         1  0.0666666667  0.1428571429         0             1             0             1  0.0619047619
      610        610          1        0         1         0  0.0666666667             0     0.125             1         0.125         0.875  0.0666666667
      640        640          1        0         1         0  0.0666666667             0     0.125             1          0.25          0.75  0.0666666667
      655        655          1        0         1         0  0.0666666667             0     0.125             1         0.375         0.625  0.0666666667
      680        680          1        0         1         0  0.0666666667             0     0.125             1           0.5           0.5  0.0666666667
      690        690          1        0         1         0  0.0666666667             0     0.125             1         0.625         0.375  0.0666666667
      700        700          1        0         1         0  0.0666666667             0     0.125             1          0.75          0.25  0.0666666667
      705        705          1        0         1         0  0.0666666667             0     0.125             1         0.875         0.125  0.0666666667
      720        720          1        0         1         0  0.0666666667             0     0.125             1             1             0  0.0666666667


