                                                   The FREQ Procedure

Table of LTV_B by gbi_tag

LTV_B |         0 |         1 |      Total
------+-----------+-----------+-----------
1     |         1 |         2 |          3
      |      8.33 |     16.67 |      25.00
      |     33.33 |     66.67 |     100.00
      |     12.50 |     50.00 |      25.00
------+-----------+-----------+-----------
2     |         2 |         1 |          3
      |     16.67 |      8.33 |      25.00
      |     66.67 |     33.33 |     100.00
      |     25.00 |     25.00 |      25.00
------+-----------+-----------+-----------
3     |         2 |         1 |          3
      |     16.67 |      8.33 |      25.00
      |     66.67 |     33.33 |     100.00
      |     25.00 |     25.00 |      25.00
------+-----------+-----------+-----------
4     |         3 |         0 |          3
      |     25.00 |      0.00 |      25.00
      |    100.00 |      0.00 |     100.00
      |     37.50 |      0.00 |      25.00
------+-----------+-----------+-----------
Total |         8 |         4 |         12

ltv_b  gbi_tag  wgt   LTV_Woe
-----  -------  ---  --------
    1        1    1         .
    1        1    1         .
    1        0    1         .
    2        1    1         .
    2        0    1         .
    2        0    1         .
    3        0    1         .
    3        0    1         .
    3        1    1         .
    4        0    1         .
    4        0    1         .
    4        0    1         .

ltv_b  gbi_tag  wgt   LTV_WOE
-----  -------  ---  --------
    1        1    1         .
    1        0    1         .
    2        1    1         .
    2        0    1         .
    3        0    1         .
    3        0    1         .
    4        0    1         .
    4        1    1         .


