
LTV_c  xmean  xmin  xmax  N  y1sum  y0sum                              pval                               QP
-----  -----  ----  ----  -  -----  -----  --------------------------------  -------------------------------
    0     38    38    38  1      1      0                            0.0000                                .
    1     41    40    42  2      2      0                            0.0000  1999999999999999758294272966656
    2     45    45    45  1      1      0                            0.0000   499999999999999939573568241664
    3     50    48    52  2      2      0                            0.0000  1999999999999999758294272966656
    4     55    55    55  1      1      0                            0.0000   499999999999999939573568241664
    5   59.5    58    61  2      1      1                            0.0833                                3
    6   66.5    65    68  2      0      2                            0.5637                     0.3333333333
    7     70    70    70  1      0      1                            0.0000  1999999999999999758294272966656
    8   73.5    72    75  2      0      2                            0.0000   499999999999999939573568241664
    9     80    80    80  1      0      1                            0.0000  1999999999999999758294272966656


